,0
455,2463
456,2439
457,2282
458,2352
459,2634
460,2842
461,2595
462,2430
463,2000
464,2090
465,2948
466,2309
467,2064
468,2157
469,2279
470,2002
471,2083
472,1987
473,2352
474,2547
475,2094
476,2315
477,2607
478,2493
479,2070
480,2253
481,2581
482,2618
483,2576
484,2657
485,2740
486,2743
487,2119
488,2045
489,1923
490,2001
491,2559
492,2813
493,2625
494,2590
495,2448
496,1840
497,1898
498,2183
499,2322
500,2336
501,2298
502,2262
503,2185
504,2320
505,2749
506,3237
507,1922
508,2218
509,1985
510,2000
511,2339
512,2754
513,2886
514,2603
515,2325
516,2282
517,2343
518,2279
519,2317
520,2028
521,2042
522,2129
523,2016
524,2208
525,2277
526,2993
527,2831
528,2105
529,2062
530,1910
531,1985
532,2119
533,1947
534,2450
535,2099
536,2659
537,2386
538,2458
539,2437
540,2453
541,2351
542,2773
543,2631
544,2599
545,2352
546,2302
547,3134
548,2200
549,1699
550,1568
551,1691
552,2087
553,2127
554,2425
555,2452
556,2393
557,2469
558,2474
559,2573
560,2745
561,2353
562,2194
563,2494
564,2451
565,2513
566,2004
567,2702
568,2557
569,1616
570,1920
571,2429
572,2317
573,2410
574,2291
575,2442
576,2160
577,2147
578,2397
579,2698
580,2749
581,2448
582,2587
583,2394
584,2352
585,2750
586,2589
587,2408
588,3059
589,2059
590,1946
591,2302
592,2183
593,2002
594,2226
595,2015
596,2153
597,2505
598,2274
599,2477
600,2156
601,2455
602,2133
603,2039
604,2391
605,2352
606,2621
607,2690
608,3007
609,2685
610,1842
611,1455
612,2098
613,2315
614,2158
615,2290
616,1942
617,2496
618,2445
619,2259
620,2359
621,2443
622,2574
623,2447
624,2403
625,2384
626,2062
627,2174
628,2369
629,3147
630,2191
631,2193
632,2176
633,1668
634,2368
635,2622
636,2625
637,2367
638,2374
639,2405
640,2127
641,2064
642,2165
643,2471
644,2398
645,1969
646,2446
647,2608
648,2490
649,2863
650,2929
651,2259
652,2199
653,2192
654,2462
655,2397
656,2096
657,2191
658,2600
659,2445
660,2315
661,2104
662,2057
663,2291
664,1972
665,2322
666,2134
667,2535
668,2407
669,2501
670,3215
671,2278
672,2318
673,1813
674,1919
675,2190
676,1892
677,2506
678,2256
679,2516
680,2480
681,2682
682,2512
683,2621
684,2482
685,2379
686,2311
687,1970
688,1874
689,2167
690,3021
691,2426
692,1846
693,2035
694,2082
695,2031
696,1923
697,1776
698,2816
699,2981
700,2793
701,2779
702,2740
703,2655
704,2234
705,2294
706,2479
707,2282
708,2306
709,2285
710,2416
711,2924
712,2035
713,1973
714,2061
715,1821
716,1967
717,2104
718,2352
719,2435
720,2646
721,2514
722,2497
723,2135
724,2020
725,1819
726,1853
727,1545
728,1611
729,1770
730,1863
731,2694
732,2887
733,1303
734,869
735,1013
736,1607
737,2329
738,2371
739,2373
740,2058
741,2290
742,2428
743,2269
744,2217
745,2165
746,2523
747,2715
748,2410
749,2602
750,2749
751,3007
752,3312
753,2403
754,2527
755,2918
756,2944
757,2896
758,2622
759,2994
760,2794
761,2872
762,2435
763,2386
764,2902
765,2914
766,2683
767,2689
768,2977
769,2906
770,2678
771,2604
772,3095
773,2322
774,2234
775,2512
776,2535
777,2477
778,2194
779,1857
780,2498
781,2736
782,2361
783,2603
784,2941
785,3405
786,3209
787,3181
788,3545
789,3685
790,3737
791,3682
792,3357
793,3434
794,2983
795,2762
796,2656
797,2415
798,1681
799,927
800,655
801,483
802,368
803,256
804,153
805,62
806,0
807,62
808,1312
809,2203
810,3171
811,3522
812,3580
813,3566
814,1762
815,880
816,591
817,447
818,465
819,2092
820,3139
821,3517
822,3667
823,3728
824,3705
825,2510
826,1769
827,1290
828,1071
829,2197
830,2891
831,3432
832,3639
833,3696
834,3735
835,3759
836,3739
837,3109
838,2059
839,1245
840,1431
841,1710
842,2283
843,2927
844,2359
845,3163
846,3537
847,3686
848,3733
849,3706
850,3559
851,3383
852,3220
853,2751
854,3178
855,2025
856,1241
857,1337
858,1119
859,955
860,742
861,789
862,1392
863,1424
864,972
865,1197
866,743
867,1195
868,1757
869,1811
870,1951
871,1726
872,2423
873,3219
874,3536
875,3493
876,3408
877,3434
878,3655
879,3682
880,3733
881,3758
882,3429
883,2582
884,2393
885,2150
886,1589
887,1562
888,1531
889,1291
890,1594
891,1319
892,959
893,1262
894,1794
895,2874
896,2057
897,1619
898,1914
899,2511
900,2726
901,3121
902,3423
903,3600
904,3638
905,3612
906,2999
907,3312
908,3277
909,2695
910,2175
911,1527
912,1754
913,1922
914,1606
915,1846
916,1616
917,830
918,688
919,583
920,631
921,1161
922,1465
923,1841
924,1895
925,2063
926,2335
927,2135
928,2967
929,2651
930,3037
931,3475
932,3383
933,3238
934,3386
935,3488
936,3621
937,2945
938,2929
939,3216
940,3145
941,2539
942,2159
943,2989
944,2960
945,2955
946,2047
947,2154
948,2710
949,2511
950,2529
951,2828
952,2818
953,1975
954,2455
955,2384
956,2629
957,2385
958,1499
959,1648
960,1665
961,2363
962,2864
963,2873
964,2477
965,1984
966,1971
967,2224
968,2590
969,2509
970,2875
971,2554
972,2842
973,2794
974,1691
975,2379
976,2397
977,3068
978,2259
979,2065
980,1991
981,2075
982,1952
983,2203
984,1776
985,1754
986,2343
987,2431
988,2043
989,2135
990,2119
991,2647
992,2515
993,2640
994,2928
995,2431
996,1974
997,2495
998,2828
999,1808
1000,2371
1001,2035
1002,2081
1003,2582
1004,2009
1005,2304
1006,2814
1007,2681
1008,1853
1009,2218
1010,1783
1011,1699
1012,2913
1013,3083
1014,2956
1015,2670
1016,2589
1017,2399
1018,3157
1019,1981
1020,1962
1021,1986
1022,2176
1023,2293
1024,1808
1025,1509
1026,1526
1027,2481
1028,2368
1029,3193
1030,3152
1031,2322
1032,1680
1033,2730
1034,2754
1035,2688
1036,3059
1037,2127
1038,2681
1039,2352
1040,1948
1041,1821
1042,1990
1043,2074
1044,2189
1045,2334
1046,2385
1047,2455
1048,2348
1049,1599
1050,2272
1051,2623
1052,2263
1053,2578
1054,2608
1055,2364
1056,2395
1057,2369
1058,2246
1059,3137
1060,2289
1061,2193
1062,2482
1063,2129
1064,2464
1065,2203
1066,1993
1067,1468
1068,2151
1069,2281
1070,2881
1071,3102
1072,2356
1073,2042
1074,2526
1075,2222
1076,2251
1077,2327
1078,2333
1079,2800
1080,2576
1081,1988
1082,2281
1083,2417
1084,2292
1085,2064
1086,1869
1087,2373
1088,2551
1089,2394
1090,2428
1091,2421
1092,1498
1093,2278
1094,2704
1095,2688
1096,2880
1097,2647
1098,2589
1099,2593
1100,3260
1101,1993
1102,1903
1103,2070
1104,2102
1105,1839
1106,2229
1107,2429
1108,2272
1109,2508
1110,2482
1111,1872
1112,2403
1113,2718
1114,2766
1115,2533
1116,2446
1117,2255
1118,2240
1119,2385
1120,2655
1121,2363
1122,1855
1123,2061
1124,1747
1125,1751
1126,2173
1127,2348
1128,2465
1129,2352
1130,2494
1131,2611
1132,2766
1133,2410
1134,2407
1135,2197
1136,2346
1137,2625
1138,2688
1139,2491
1140,2000
1141,2998
1142,1856
1143,1642
1144,1946
1145,2192
1146,1733
1147,2182
1148,2553
1149,2603
1150,2793
1151,2657
1152,2224
1153,2241
1154,2441
1155,2217
1156,1776
1157,2094
1158,2853
1159,2480
1160,2355
1161,2867
1162,2368
1163,1657
1164,2160
1165,2263
1166,2002
1167,2093
1168,2381
1169,2815
1170,2524
1171,2284
1172,2397
1173,2642
1174,2733
1175,2513
1176,2364
1177,2384
1178,2386
1179,2491
1180,2610
1181,2540
1182,3243
1183,2349
1184,2029
1185,1978
1186,2000
1187,2149
1188,2132
1189,2390
1190,2356
1191,2559
1192,2539
1193,2099
1194,2588
1195,2544
1196,2585
1197,2609
1198,2622
1199,2211
1200,2506
1201,2351
1202,3047
1203,2710
1204,2135
1205,2124
1206,2142
1207,1951
1208,2354
1209,2096
1210,2493
1211,2313
1212,2393
1213,2583
1214,2591
1215,2137
1216,2065
1217,2426
1218,2174
1219,2064
1220,2033
1221,2089
1222,1936
1223,2622
1224,1527
1225,1258
1226,977
1227,1295
1228,1653
1229,1794
1230,2015
1231,2291
1232,2579
1233,2916
1234,3357
1235,3578
1236,3696
1237,3667
1238,3090
1239,2585
1240,2229
1241,1718
1242,1667
1243,2496
1244,1616
1245,1054
1246,1980
1247,2935
1248,3442
1249,3648
1250,3722
1251,3747
1252,3760
1253,3760
1254,3765
1255,3751
1256,3449
1257,2174
1258,1394
1259,761
1260,541
1261,492
1262,653
1263,657
1264,1732
1265,846
1266,568
1267,425
1268,305
1269,394
1270,1464
1271,2768
1272,3375
1273,3612
1274,3701
1275,3735
1276,3753
1277,3757
1278,3762
1279,3764
1280,2531
1281,1264
1282,841
1283,1065
1284,2266
1285,1830
1286,1071
1287,1131
1288,1629
1289,2000
1290,2404
1291,2636
1292,2928
1293,3113
1294,3439
1295,3531
1296,3677
1297,3632
1298,3549
1299,3338
1300,3201
1301,2886
1302,2725
1303,2446
1304,2421
1305,2868
1306,1494
1307,1296
1308,1529
1309,1730
1310,2095
1311,2192
1312,2279
1313,2358
1314,2531
1315,2616
1316,2762
1317,2773
1318,2769
1319,2651
1320,2617
1321,2391
1322,2013
1323,2105
1324,2233
1325,2961
1326,2166
1327,1558
1328,1810
1329,2000
1330,2160
1331,2222
1332,1971
1333,2276
1334,2448
1335,1968
1336,1855
1337,2613
1338,2755
1339,2761
1340,2340
1341,2597
1342,2575
1343,2081
1344,2539
1345,2704
1346,3007
1347,2086
1348,1748
1349,1877
1350,2496
1351,2500
1352,2485
1353,1938
1354,2256
1355,2489
1356,2517
1357,2609
1358,2717
1359,2461
1360,2511
1361,2659
1362,2356
1363,2321
1364,2582
1365,2399
1366,3054
1367,2130
1368,1919
1369,2196
1370,2222
1371,1664
1372,2192
1373,2173
1374,2384
1375,2475
1376,2381
1377,2252
1378,2305
1379,2402
1380,2352
1381,2161
1382,2429
1383,2251
1384,1754
1385,1991
1386,2607
1387,2864
1388,1583
1389,1812
1390,2315
1391,2523
1392,2414
1393,2544
1394,2658
1395,2661
1396,2631
1397,2361
1398,2430
1399,2194
1400,2224
1401,2511
1402,2273
1403,2449
1404,2221
1405,2166
1406,2032
1407,2991
1408,2523
1409,1999
1410,2224
1411,2160
1412,2337
1413,2400
1414,2991
1415,2731
1416,2788
1417,2775
1418,2631
1419,2480
1420,2445
1421,1871
1422,1856
1423,1566
1424,2006
1425,2345
1426,2605
1427,2764
1428,2859
1429,1505
1430,1883
1431,2229
1432,2510
1433,2580
1434,2302
1435,2499
1436,2577
1437,2032
1438,2400
1439,2338
1440,2535
1441,2434
1442,2602
1443,2510
1444,2167
1445,2339
1446,2391
1447,2457
1448,3210
1449,2365
1450,1933
1451,1817
1452,2263
1453,2191
1454,2330
1455,2290
1456,2248
1457,2178
1458,1872
1459,2142
1460,2251
1461,2486
1462,2551
1463,2612
1464,2736
1465,2523
1466,2496
1467,2395
1468,2740
1469,2726
1470,1746
1471,1607
1472,1792
1473,2108
1474,2165
1475,2412
1476,2650
1477,2655
1478,2430
1479,1966
1480,2571
1481,2634
1482,2384
1483,2298
1484,2571
1485,2143
1486,2320
1487,2384
1488,2544
1489,3226
1490,2405
1491,1792
1492,1742
1493,1936
1494,2097
1495,2115
1496,2314
1497,2127
1498,2145
1499,2238
1500,2517
